SourceLabel,SourceID,Relation Label,Relation ID,TargetLabel,TargetID
The Amityville Horror,https://www.wikidata.org/wiki/Q472512,has quality,https://www.wikidata.org/wiki/Property:P1552,paranormal phenomenon,https://www.wikidata.org/wiki/Q332102
The Amityville Horror,https://www.wikidata.org/wiki/Q472512,has quality,https://www.wikidata.org/wiki/Property:P1552,curse,https://www.wikidata.org/wiki/Q109411
James Brolin,https://www.wikidata.org/wiki/Q315051,significant event,https://www.wikidata.org/wiki/Property:P793,paranormal phenomenon,https://www.wikidata.org/wiki/Q332102
Steve McQueen,https://www.wikidata.org/wiki/Q159347,significant event,https://www.wikidata.org/wiki/Property:P793,car accident,https://www.wikidata.org/wiki/Q61037771
Steve McQueen,https://www.wikidata.org/wiki/Q159347,significant event,https://www.wikidata.org/wiki/Property:P793,conspiracy,https://www.wikidata.org/wiki/Q930164
Charles Manson,https://www.wikidata.org/wiki/Q485508,member,https://www.wikidata.org/wiki/Q9200127,conspiracy,https://www.wikidata.org/wiki/Q930164
Steve McQueen,https://www.wikidata.org/wiki/Q159347,significant event,https://www.wikidata.org/wiki/Property:P793,divorce,https://www.wikidata.org/wiki/Q93190
Le Mans,https://www.wikidata.org/wiki/Q613290,cast member,https://www.wikidata.org/wiki/Property:P161,Derek Bell,https://www.wikidata.org/wiki/Q165814
Derek Bell,https://www.wikidata.org/wiki/Q165814,significant event,https://www.wikidata.org/wiki/Property:P793,car accident,https://www.wikidata.org/wiki/Q61037771
Derek Bell,https://www.wikidata.org/wiki/Q165814,significant event,https://www.wikidata.org/wiki/Property:P793,burn,https://www.wikidata.org/wiki/Q170518
Derek Bell,https://www.wikidata.org/wiki/Q165814,significant event,https://www.wikidata.org/wiki/Property:P793,amputation,https://www.wikidata.org/wiki/Q477415
Louise Edlind Friberg,https://www.wikidata.org/wiki/Q438138,significant event,https://www.wikidata.org/wiki/Property:P793,car accident,https://www.wikidata.org/wiki/Q61037771
Louise Edlind Friberg,https://www.wikidata.org/wiki/Q438138,cause of death,https://www.wikidata.org/wiki/Property:P509,car accident,https://www.wikidata.org/wiki/Q61037771
Le Mans,https://www.wikidata.org/wiki/Q613290,number of deaths,https://www.wikidata.org/wiki/Property:P509,1,
Le Mans,https://www.wikidata.org/wiki/Q613290,number of injured,https://www.wikidata.org/wiki/Property:P1339,3,
Computer Fraud and Abuse Act,https://www.wikidata.org/wiki/Q5157437,inspired by,https://www.wikidata.org/wiki/Property:P941,War Games,https://www.wikidata.org/wiki/Q504697
Computer Fraud and Abuse Act,https://www.wikidata.org/wiki/Q5157437,main subject,https://www.wikidata.org/wiki/Property:P921,internet security,https://www.wikidata.org/wiki/Q1070427
John William Vessey,https://www.wikidata.org/wiki/Q562902,creator of,https://www.wikidata.org/wiki/Q78522641,Computer Fraud and Abuse Act,https://www.wikidata.org/wiki/Q5157437
Aaron Swartz,https://www.wikidata.org/wiki/Q302817,convicted of,https://www.wikidata.org/wiki/Property:P1399,computer fraud,https://www.wikidata.org/wiki/Q1122388
Aaron Swartz,https://www.wikidata.org/wiki/Q302817,cause of death,https://www.wikidata.org/wiki/Property:P509,suicide,https://www.wikidata.org/wiki/Q10737
War Games,https://www.wikidata.org/wiki/Q504697,number of deaths,https://www.wikidata.org/wiki/Property:P509,1,
